archetype,n,median_churn,median_files,median_human_reviews,denominator,share,examples
other / production_code / single:model_implementation / backend_agnostic,6,290.5,6.0,2.5,5649,0.0010621348911311736,#43784 Deprecate `JAISLMHeadModel`; #45128 [Model] Remove InternLMForCausalLM registry alias; #45637 [Model] Remove Dots1ForCausalLM
refactor / production_code / single:attention / backend_specific,6,42.0,1.0,1.5,5649,0.0010621348911311736,#34378 Use paged_attention_v1 for sliding window decode in rocm_aiter_fa; #35384 [Performance] Extract KV-cache update from TreeAttention backend; #36673 [Misc][Attention] Clean up unused method in `CPU_ATTN`
bugfix / benchmarks / support_only / backend_specific,6,11.0,1.0,1.5,5649,0.0010621348911311736,#33752 [Bugfix] Fix  kernel benchmark; #34149 [Bugfix] Fix benchmark_moe.py inplace assertion with torch >= 2.9; #34665 [Bugfix] Fix benchmark_fused_collective crash on CustomOp init
bugfix / production_code / single:compilation / cross_backend,6,17.0,2.0,3.5,5649,0.0010621348911311736,#33945 [torch.compile][Fusion] Fix attention fusion pass removing kv_udpate op.; #33967 [Bugfix] Fix QK Norm+RoPE fusion pattern matching on B200+FP8; #38763 only patch runtime_env for torch >= 2.10
bugfix / production_code / single:serving_api / backend_specific,6,31.0,3.0,2.5,5649,0.0010621348911311736,#34123 [Frontend][CI]  Consolidate instrumentator entrypoints; #37127 [CI][Bugfix] Fix 500 errors from priority overflow and TemplateError subclasses in schema fuzz tests; #37215 [Bugfix] Fix render server crash for quantized models on CPU-only hosts
ci / production_code / multi_component / backend_agnostic,6,100.0,12.0,5.5,5649,0.0010621348911311736,#34292 [CI] Enable mypy coverage for individual excluded files; #36104 [CI] Bump `mypy` version to 1.19.1; #36882 [CI] Fix mypy pre-commit errors on main
maintenance / production_code / multi_component / backend_specific,6,132.5,7.0,3.0,5649,0.0010621348911311736,#32700 [Quantization][Deprecation] Remove PTPC FP8; #33724 [WideEP] Remove pplx all2all backend; #36216 [V0 Deprecation] Remove unused swap_space parameter
feature / production_code / single:kv_cache_data_movement / cross_backend,6,959.5,6.0,14.5,5649,0.0010621348911311736,#34931 [AMD][CI] Support Triton attention with ExampleConnector; #37206 [KV Offload] Unified memory layout for offloading workers; #40900 [KV Transfer] Add MooncakeStoreConnector for KV cache offloading via Mooncake distributed store
maintenance / production_code / single:serving_api / backend_agnostic,6,8.5,1.5,2.0,5649,0.0010621348911311736,#34944 [V0 Deprecation] Remove unused MM placeholders in request output; #36114 [Bugfix] Fix mypy errors in hermes_tool_parser.py; #36511 [Misc] fix typo: dependant -> dependent (2 lines change)
maintenance / production_code / single:model_implementation / backend_agnostic,6,245.5,1.5,1.5,5649,0.0010621348911311736,#33975 Fix `main` pre-commit; #35821 [V0 deprecation] Remove Swin model; #35883 [Chore] Remove debug code in model implementation
maintenance / production_code / multi_component / backend_agnostic,6,73.0,5.0,2.0,5649,0.0010621348911311736,#28443 [feat]: make DCP error msg clearer; #35441 [Deprecation] Deprecate code in 0.17 as scheduled; #36006 [Misc] Remove deprecated items that are due for removal
refactor / production_code / single:moe / backend_specific,6,27.5,5.5,3.5,5649,0.0010621348911311736,"#33049 [MoE Refactor] DefaultMoERunner simplifcation; #35927 [MoE] Move PF Methods to Folder; #36294 [MoE Refactor] Rename ""naive"" all2all backend"
bugfix / tests / support_only / backend_specific,6,69.0,2.0,4.0,5649,0.0010621348911311736,#43300 [Bugfix] Fix broken profile_modular_kernel.py; #44795 [Bugfix] nightly Docker images crash with ImportError: AnthropicOutputConfig since May 28; #46115 [Bugfix] MoRIIO toy P/D proxy: fix DP-rank index aliasing + harden for high-concurrency bursts
refactor / production_code / single:configuration_shared_infrastructure / backend_agnostic,6,97.5,2.5,2.0,5649,0.0010621348911311736,#33989 Update `WeightTransferConfig` to be more standard like the others; #36303 [Misc] Remove duplicate parser registration; #38153 [Refactor] Remove unused utils
other / production_code / multi_component / backend_agnostic,5,1211.0,12.0,3.0,5649,0.0008851124092759781,"#34400 [V0 Deprecation] Remove code related to per-request logits processors; #46706 Remove grok model arch from vllm; #47143 [Model] Remove Tarsier, Tarsier2"
bugfix / production_code / single:kernels_operators / cross_backend,5,2.0,1.0,2.0,5649,0.0008851124092759781,#34537 [Kernels] Fix Helion GPU utils to use platform-agnostic device name API; #35275 [Bugfix] Fix uint32 overflow in Mamba selective scan state pointer arithmetic; #44692 [Bugfix][Kernel] Fix mHC fused-RMSNorm big-fuse miscompile for hidden_size != 4096
refactor / production_code / single:engine / backend_agnostic,5,96.0,3.0,2.0,5649,0.0008851124092759781,#34794 [Refactor] Implement output type check in LLM; #39442 [Core] Change max_model_len in EngineCoreReadyResponse to be non-None; #43405 [Rust Frontend] [Refactor] Extract a newtype for utility call ID
bugfix / production_code / single:kernels_operators / backend_agnostic,5,7.0,1.0,2.0,5649,0.0008851124092759781,#34467 [Bugfix] Replace c10::optional with std::optional in topk kernel; #36677 [Kernel][Helion][13/N] Force static_shapes=False in helion register; #36683 [Kernel] [Helion] [14/N] Set autotune_ignore_errors=True during autotuning
bugfix / build / support_only / backend_agnostic,5,2.0,1.0,1.0,5649,0.0008851124092759781,#33440 pin LMCache to v0.3.9 or greater with vLLM v0.15.0; #33553 [CI/Build] Remove hardcoded America/Los_Angeles timezone from Dockerfiles; #35495 [Misc] Bound NIXL upper bound version
feature / production_code / single:engine / backend_agnostic,5,193.0,3.0,4.0,5649,0.0008851124092759781,#33195 [Core] Add sleep level 0 mode with enqueue/wait pattern; #33581 [Feature] Warn about unrecognized environment variables; #34904 Support prompt_embeds for pooling requests in output processor
build / tests / support_only / cross_backend,5,386.0,8.0,2.0,5649,0.0008851124092759781,#39024 Add structure to `requirements/` directory; #40653 build: embed image provenance metadata in vLLM containers; #41377 [CI/Build] Skip terratorch + torchgeo while PyPI has lightning quarantined
refactor / production_code / single:moe / backend_agnostic,5,323.0,5.0,9.0,5649,0.0008851124092759781,#34520 [EPLB] Cleanup the transfer logic for the various eplb maps; #40560 [MoE Refactor] Combine MoERunnerBase + DefaultMoERunner; #40730 [EPLB] Remove asyncio infrastructure from Async EPLB
refactor / production_code / single:compilation / backend_agnostic,5,40.0,1.0,2.0,5649,0.0008851124092759781,#34831 [compile] Move torch_aot_compile directory under torch_compile_cache; #36027 [torch.compile] Rename `compile_ranges_split_points` to `compile_ranges_endpoints`; #36204 use skip_all_guards_unsafe to drop global_state and torch_function_mode_stack guards instead of previous hacks
bugfix / production_code / single:sampling / backend_specific,5,13.0,1.0,3.0,5649,0.0008851124092759781,#32384 [Bugfix] Fix xgrammar dtype mismatch on macOS CPU inference; #37706 [Bugfix] Fix structured output crash on CPU due to pin_memory=True; #41771 [XPU] keep generator state of sycl kernel align with pytorch
bugfix / production_code / single:attention / cross_backend,5,53.0,6.0,3.0,5649,0.0008851124092759781,#33579 [Bugfix] Fix sparse MLA metadata building; #37199 [Misc] Add `float16` to `CacheDType`; #42685 [FlashAttn] Fix supports_kv_cache_dtype() accepting unhandled fp8 kv-cache dtype variants
bugfix / production_code / single:configuration_shared_infrastructure / backend_specific,5,34.0,1.0,2.0,5649,0.0008851124092759781,#35007 [Bugfix] Register VLLM_BATCH_INVARIANT in envs.py to fix spurious unknown env var warning; #41486 fix: default TILELANG_CLEANUP_TEMP_FILES=1 to avoid shared /tmp conflicts; #43311 [CI] Fix CPU tests failing on `tl.exp2` import
performance / production_code / single:sampling / backend_agnostic,5,21.0,1.0,4.0,5649,0.0008851124092759781,#33593 [Perf] Optimize Python Slice for Structured Output using `islice` instead of [:]; #46422 [Perf] Skip detokenization in online beam search; #46425 [Perf][ThinkingBudget] reduce search space for thinking tokens
performance / production_code / single:scheduler / backend_agnostic,4,36.0,2.0,1.0,5649,0.0007080899274207824,"#34765 [Core] Minor structured-output related scheduler optimization; #35781 [Perf] Optimize scheduler overhead for PD disaggregation, around 5% E2E perf improvement; #39592 [Pooling] Disable async scheduling by default for pooling models"
performance / production_code / single:other / backend_agnostic,4,298.0,6.0,1.0,5649,0.0007080899274207824,#43850 [Rust Frontend] Reduce Gemma4 tool parser args scan complexity; #45826 [Rust Frontend][Perf] O(n) argument scan in tool parser; #45988 [Perf] Remove unused loggers in `reasoning/`
bugfix / production_code / single:speculative_decoding / backend_specific,4,29.5,1.5,3.0,5649,0.0007080899274207824,#37887 [ROCm][perf] fix Aiter sparse MLA with MTP>1; #43982 [Bugfix] Fix Gemma4 MTP block_table batch_size mismatch under concurrent load; #44492 [Bugfix][Spec-Decode] Populate draft seq_lens_cpu_upper_bound for spec-decode attention metadata
bugfix / tests / support_only / backend_agnostic,4,65.0,2.0,3.5,5649,0.0007080899274207824,#41459 fix(frontend): Add multimodal placeholders to Gemma4 tool message template; #47033 [Bugfix] Re-enable benchmarking of librispeech dataset.; #47135 [Bench][BugFix] Fix empty decoder prompt for Cohere ASR in throughput benchmark
feature / production_code / single:worker_model_runner / backend_specific,4,47.5,3.0,2.0,5649,0.0007080899274207824,#34726 [ROCm] Enable DBO (Dynamic Batch Optimization) on ROCm; #36078 [XPU] Enable ModelRunnerV2 on XPU; #42537 [UX] Add a persistent cache for FlashInfer autotuning
feature / production_code / single:compilation / backend_agnostic,4,17.5,2.0,1.5,5649,0.0007080899274207824,#33735 [torch.compile] Add an option to force-enable the MOE cold start optimization; #34155 [compile] Enable AOT compile with 2.10 in trunk.; #36098 [compile] Split compile/warmup monitoring
feature / production_code / single:kernels_operators / backend_specific,4,405.5,5.0,9.5,5649,0.0007080899274207824,#33373 [Kernel] [Helion] [4/N] Add silu_mul_fp8 Helion kernel ; #42425 [Perf] Add VLLM_TRITON_FORCE_FIRST_CONFIG to skip Triton autotuning; #44674 [ROCm][Kernel] Enable permute_cols for ROCm
feature / production_code / single:moe / backend_specific,4,23.0,2.5,2.0,5649,0.0007080899274207824,#37481 [XPU] enable is_act_and_mul for xpu; #42139 [XPU][MoE] support block_fp8_moe on xpu; #46661 Allow FlashInfer A2A backends for TRTLLM FP8 MoE Modular
refactor / production_code / single:reliability_observability / backend_agnostic,4,231.0,16.0,2.0,5649,0.0007080899274207824,"#33898 [Metrics] Some small refactoring for better maintainability; #40540 [Refactor] Clean up log once `scope=""local""`; #48937 [Rust][Benchmark] Use `tracing` for logs"
refactor / production_code / single:other / backend_agnostic,4,438.5,4.0,2.5,5649,0.0007080899274207824,#43025 [Refactor] Extract extract_types_from_schema utility from Minimax M2 tool parser; #44279 [Refactor] Remove dead code from parser infrastructure; #44299 [Rust Frontend] Support recursive tool parameter conversion
other / production_code / multi_component / backend_specific,4,1005.0,12.0,2.5,5649,0.0007080899274207824,#32694 [Quantization][Deprecation] Remove Petit NVFP4; #36799 [Sparse24] [Deprecation] Remove Sparse24 CT integration and kernels; #43629 [ROCm] Remove MegaMoE integration in deepseek v4
bugfix / production_code / single:quantization / cross_backend,4,26.0,1.0,2.5,5649,0.0007080899274207824,#35838 Enable bnb for multiple indices weight; #36854 [Bugfix] Clear error message for FP8 torchao quantization on unsupported GPUs; #37986 [Quantization][Autoround][XPU] Add `W4A16` Support
feature / tests / support_only / backend_agnostic,4,49.5,2.5,3.0,5649,0.0007080899274207824,#43143 [Cohere] Enable Cohere MoE; #43636 [Misc] Support interleaved custom image benchmark datasets; #44244 [Benchmark] Enable reasoning-model (thinking) benchmarking via `--chat-template-kwargs` for client-rendered datasets
maintenance / production_code / multi_component / cross_backend,4,300.0,19.0,2.5,5649,0.0007080899274207824,#33535 [Misc] Remove deprecated VLLM_ALL2ALL_BACKEND environment variable; #40159 [MyPy] Enable mypy for `vllm/model_executor/layers/`; #44992 Deprecations for v0.23 and v0.24
maintenance / production_code / single:other / backend_agnostic,4,20.0,2.5,2.0,5649,0.0007080899274207824,#35586 [Benchmark] Rename SLA Finder to Workload Explorer; #35683 [MISC] Removed unused function find_all_indices() from tool_parsers/utils.py; #42441 [Misc] Fix mypy error in parser_manager type narrowing
maintenance / production_code / single:attention / backend_specific,4,6.0,1.0,1.5,5649,0.0007080899274207824,#36609 [Minor] Enhance error message for TRTLLM decode uniformity check; #42555 [Attention] Remove deprecated MLA prefill arguments; #44178 [ROCm][Cleanup] Remove stale AITER FA hybrid KV-cache TODO
build / tests / support_only / backend_specific,4,51.5,4.0,4.0,5649,0.0007080899274207824,#35658 [ROCm] add amd-quark package in requirements for rocm to use quantized models; #41516 [Build] Build bundled DeepGEMM `_C` per-Python so the wheel imports on every CPython; #45166 [CI][NIXL] Fix NIXL EP import canary for the nixl 1.3.0 wheel and pin nixl==1.3.0
feature / benchmarks / support_only / backend_specific,4,829.5,7.0,7.0,5649,0.0007080899274207824,#34128 Vllm CPU benchmark suite improvement; #35086 more models for vLLM Benchmark Suite; #35971 refine `vllm bench throughput --backend hf`
ci / developer_tooling / support_only / backend_agnostic,4,50.0,1.0,1.5,5649,0.0007080899274207824,#34639 [CI] Enable mypy import following for vllm/v1/kv_offload; #43901 Refactor output filename handling in ci-fetch-log.sh; #47018 [mypy] Enable mypy for tests directory
refactor / production_code / single:worker_model_runner / backend_specific,3,54.0,5.0,4.0,5649,0.0005310674455655868,#35621 [Model Runner V2] Add ModelStateInterface [4/N]; #36762 [Model Runner V2] Remove unused warmup_for_prefill method; #36924 [Hardware][TPU] Add supports_async_scheduling() method to Executor interface so that it can be extended for Executor implementations.
performance / production_code / single:moe / backend_agnostic,3,17.0,2.0,4.0,5649,0.0005310674455655868,#35794 [Perf] Optimize FusedMoEModularKernel output tensor using torch.empty; #36271 [EPLB] Remove main waits in case of slow EPLB; #49618 perf: dispatch non-grouped bias-less topk routing methods to fused path
refactor / production_code / single:quantization / backend_specific,3,121.0,2.0,1.0,5649,0.0005310674455655868,"#37768 Revert ""Consolidate AWQ quantization into single awq_marlin.py file""; #43144 Remove additional dead code as a follow-up to #42889; #44122 [Refactor] Remove dead code fp quant"
feature / production_code / single:configuration_shared_infrastructure / backend_agnostic,3,65.0,1.0,3.0,5649,0.0005310674455655868,#33677 [Misc] Add deprecated environment variable utilities; #40389 Deprecate support for Transformers v4; #40473 [Misc] Support Human-readable (k/K/m/M..) json cli arg
feature / production_code / single:input_processing_multimodal / backend_specific,3,25.0,4.0,2.0,5649,0.0005310674455655868,#33856 [Minor] Include `StreamingInput` in inputs package; #36971 Mistral common v10; #42424 Deepstream video backend
feature / production_code / single:speculative_decoding / backend_agnostic,3,32.0,3.0,4.0,5649,0.0005310674455655868,#38174 [Feature] Universal speculative decoding for heterogeneous vocabularies (TLI); #43445 [Spec Decode] Allow causal DFlash; #48639 Support loading sample_from_anchor flag from speculators config
build / production_code / single:kernels_operators / backend_specific,3,1.0,1.0,3.0,5649,0.0005310674455655868,#36693 [Compile] Fix compile warning `st256_cs` in `cuda_vec_utils.cuh`; #46792 [Hardware][AMD][CI] Fix AMD CI image build; #47128 [ROCm] [PyTorch] Move to stable abi since ROCm upgraded to torch 2.11
feature / production_code / single:model_implementation / backend_specific,3,160.0,4.0,4.0,5649,0.0005310674455655868,#35059 feat(cpu): add CPU support for Mamba ShortConv; #47991 [Model] Add RobertaForTokenClassification / XLMRobertaForTokenClassification; #48463 [Feat] Add Support for BertForMaskedLM to vLLM
ci / documentation_examples / support_only / backend_agnostic,3,0.0,1.0,1.0,5649,0.0005310674455655868,#45209 [CI][Bugfix] Update Dockerfile dependency graph PNG; #45274 [CI] ci-fetch-log.sh: fetch all failed jobs from a build URL or PR number; #45374 [Bugfix] Fix Dockerfile dependency graph pre-commit error
feature / production_code / single:quantization / cross_backend,3,331.0,7.0,34.0,5649,0.0005310674455655868,#39778 [Quantization][Autoround][Toolkit] Add W4A16 Support; #47124 [Quantization][Autoround][XPU] Add W4A16(moe) / MXFP4(linear/moe) Support; #47514 [Quantization][INC]Add MXFP8 Linear Support
documentation / production_code / single:serving_api / backend_agnostic,3,48.0,2.0,2.0,5649,0.0005310674455655868,#34056 [Doc] Fix run_batch docs; #35139 [Docs] Document security risks of GPT-OSS Python tool; #49587 [Docs] Use `gen-files` for generated docs content
documentation / tests / support_only / backend_agnostic,3,8.0,3.0,1.0,5649,0.0005310674455655868,#33716 [Voxtral Realtime] Change name; #44293 Nit Changes in Tiered KV Offload; #45940 [Doc] Update MiniMax-M3
documentation / developer_tooling / support_only / backend_agnostic,3,9.0,1.0,2.0,5649,0.0005310674455655868,#36909 Revise environment setup in AGENTS.md; #45301 [Doc] AGENTS.md: add section about coding style; #46373 [docs] link security docs from AGENTS
refactor / production_code / single:distributed_execution / backend_agnostic,3,53.0,2.0,2.0,5649,0.0005310674455655868,#35328 [Core] Move ray-specific WorkerWrapperBase methods to RayWorkerWrapper; #38644 [Refactor] Simplify FutureWrapper in MultiprocExecutor; #38842 [Refactor] Remove unused dead code
bugfix / build / support_only / cross_backend,3,6.0,3.0,1.0,5649,0.0005310674455655868,#39793 Bugfix: `use_existing_torch.py`: Glob recursive subdirs in requirements (fixes #39024); #44984 fix(docker): eliminate race conditions in shared buildkit cache mounts; #50307 Bump Helion to 1.4.0
bugfix / documentation_examples / support_only / backend_specific,3,7.0,1.0,2.0,5649,0.0005310674455655868,#46482 [ROCm][P/D] MoRIIO toy proxy: support JSON Content-Type for OpenAI clients.; #46851 [ROCm][CI] Fix rlhf_nccl.py on ROCm; #46895 [ROCm][CI] Fix `rlhf_async_new_apis` Example On ROCm
feature / tests / support_only / backend_specific,3,124.0,2.0,2.0,5649,0.0005310674455655868,#35710 [ROCm][CI] Support async weight transfer example with platform-aware determinism; #42456 [Feature] Support compile mode for batch invariance on SM80; #45210 [Misc][Model] add io processor for query/document embeddings from ColBERT (jinaai/jina-colbert-v2)
performance / production_code / single:kv_cache_data_movement / backend_specific,3,114.0,5.0,6.0,5649,0.0005310674455655868,#31034 [P/D] rework mooncake connector and introduce its bootstrap server; #45757 [CPUOffloading] Guard CPU eviction check; #46216 [CPUOffloadingManager] Maintain evictable list in LRUCachePolicy
performance / build / support_only / backend_agnostic,3,13.0,4.0,3.0,5649,0.0005310674455655868,#34240 [Docs] Speed up build environment set-up ; #34273 [Misc] Bump `fastsafetensors` version for latest fixes; #44635 Speed up docs build
performance / benchmarks / support_only / backend_agnostic,3,6.0,1.0,1.0,5649,0.0005310674455655868,#33489 Change defaults for vllm bench startup; #35618 [Benchmark] Avoid unnecessary video download in MMVU; #43925 [CI] Enable prefix caching in BFCL benchmark
performance / production_code / single:distributed_execution / backend_specific,3,236.0,3.0,2.0,5649,0.0005310674455655868,#33839 [Kernel][perf] optimize NCCL symm_mem vs custom_AR selection thresholds; #46703 [PERF] Extend NCCL symmetric memory to AllGather and ReduceScatter; #48442 [Perf] Zero-copy torch.Tensor pickling in shm_broadcast MessageQueue
performance / production_code / single:lora / backend_agnostic,3,84.0,1.0,2.0,5649,0.0005310674455655868,#42737 [LoRA] Reduce memory of 2D weights when EP is set; #46542 [Perf][LoRA] Replace O(n) list.index() with a dict in convert_mapping; #47040 [Rust Frontend] Avoid LoRA registry scans without active LoRA requests
performance / production_code / single:kv_cache_data_movement / cross_backend,3,136.0,3.0,10.0,5649,0.0005310674455655868,#45850 [KV Offload] Use background thread for mmap / cpu_tensors pinning; #48906 [KV Offload] Deduplicate replicated MLA KV in the shared CPU region; #50301 [KV Offload] Enable single-copy MLA layout for CPUOffloadingSpec
performance / production_code / single:worker_model_runner / backend_specific,3,12.0,1.0,2.0,5649,0.0005310674455655868,#37006 [V1] Remove pin_memory() in async_copy_to_gpu to fix sporadic stalls; #41375 [Perf] Warmup forward_native sampler kernel; #48440 Re-disable CUDA graph memory profiling on ROCm
performance / production_code / single:moe / backend_specific,3,14.0,1.0,2.0,5649,0.0005310674455655868,#39141 [Perf] Update TRTLLM supported MoE routing methods; #44217 [Perf] Fix dsv3_router_gemm heuristic; #44220 [Perf] use triton moe backend on hopper by default
ci / build / support_only / backend_agnostic,3,17.0,2.0,1.0,5649,0.0005310674455655868,#34656 [CI] Fix bake config artifact path for AMI rebuild pipeline; #34767 [CI] Remove unused precompiled wheel args from image build; #42929 Improve logging when docs build is skipped
maintenance / documentation_examples / support_only / backend_agnostic,3,13.0,2.0,2.0,5649,0.0005310674455655868,#40048 Add @sfeng33 to CODEOWNERS; #40141 Add @bbrowning to CODEOWNERS; #44047 [Governance] Add @BugenZhao as Rust frontend code owner
ci / production_code / multi_component / backend_specific,3,93.0,9.0,4.0,5649,0.0005310674455655868,#34950 [CI] Bump `mypy` version to 1.15.0; #43752 [Quantization][CI] add humming lm-eval test; #44647 [CI] Bump mypy version `1.19.1` -> `1.20.2`
ci / production_code / single:attention / backend_specific,3,57.0,3.0,5.0,5649,0.0005310674455655868,#46691 [Hardware][AMD][CI] Use Triton-based AITER MHA for LM Eval Qwen-3.5 Models Tests; #46904 [ROCm][CI] Refresh ROCm base images when docker rocm_base changes; #49143 [CI] Add M3 MSA tests to CI
maintenance / production_code / single:attention / backend_agnostic,3,4.0,1.0,1.0,5649,0.0005310674455655868,#33801 [Misc] Delay deprecation of CommonAttentionMetadata properties; #33978 Fix spelling errors; #40086 [Misc] Reduce attention logging levels
refactor / production_code / single:kernels_operators / backend_specific,3,92.0,4.0,3.0,5649,0.0005310674455655868,#36698 [Kernel] [Helion] [15/N] Split config files into per-platform files; #45089 Use std::bit_cast for type punning in CPU kernels; #46842 [Refactor] Remove dead minimax allreduce rms kernel
performance / production_code / single:speculative_decoding / backend_agnostic,3,14.0,1.0,3.0,5649,0.0005310674455655868,#41043 [Perf][Spec Decode] Avoid per-step numpy allocation in prepare_next_t…; #46448 [Model Runner V2][Spec Decode] Reduce TP communication for draft token generation; #46968 [Spec Decode] Avoid redundant hidden-states gather in draft prefill
feature / production_code / single:serving_api / backend_specific,2,959.0,11.5,8.5,5649,0.0003540449637103912,"#36169 feat(grpc): extract gRPC servicer into smg-grpc-servicer package, add --grpc flag to vllm serve; #40894 feat: update xgrammar==0.2.0 to use structural tags for strict tool calling + reasoning for more models"
build / production_code / multi_component / backend_agnostic,2,382.5,18.5,3.0,5649,0.0003540449637103912,#37058 [Frontend] Remove librosa from audio dependency; #45161 Deprecate Transformers v4 support
bugfix / production_code / single:kv_cache_data_movement / cross_backend,2,65.0,1.0,2.0,5649,0.0003540449637103912,"#46958 [BugFix] Revert ""[KV Offload] Use background thread for mmap / cpu_tensors pinning""; #49857 [Bugfix][CuMem] Make KV-cache wake cleanup tag-safe"
test / production_code / single:moe / backend_specific,2,1105.0,6.5,4.5,5649,0.0003540449637103912,#24675 [MoE Refactor][Test] FusedMoE layer test; #33715 [NVIDIA][test] Tests for flashinfer TRTLLM BF16 MoE
documentation / build / support_only / backend_agnostic,2,2067.5,9.0,37.0,5649,0.0003540449637103912,#35592 [Docs] Reorganize pooling docs.; #43192 Enable mermaid diagrams in the docs
performance / production_code / single:input_processing_multimodal / cross_backend,2,125.5,6.5,4.0,5649,0.0003540449637103912,#39524 [Refactor] Remove `resampy` dependency; #48145 [Frontend] Reuse prefill token ids on the decode chat path for disaggregated serving
performance / production_code / single:attention / cross_backend,2,1322.0,11.0,5.5,5649,0.0003540449637103912,#42311 [Model] [Perf] Use flatten for Qwen3.5's GDN output projection; #47327 [1/N] Add dense MHA path for sparse MLA short sequences
performance / production_code / single:distributed_execution / backend_agnostic,2,380.5,3.0,5.5,5649,0.0003540449637103912,#28053 [Core] Remove busy loop from idle buffer readers; #40891 [Core] Avoid using extra thread in `UniProcExecutor`
performance / production_code / single:input_processing_multimodal / backend_specific,2,309.0,3.0,3.0,5649,0.0003540449637103912,#40283 Optimize nemotron VL image/video preprocessing; #47416 [perf]Add fused Kimi image preprocessing
feature / production_code / single:sampling / backend_agnostic,2,238.5,2.0,7.5,5649,0.0003540449637103912,#35022 [Core] Support structured outputs for beam search; #44588 [Reasoning][Structured Outputs] Add Command A plus tags for structural tags
feature / documentation_examples / support_only / backend_agnostic,2,230.5,1.5,3.5,5649,0.0003540449637103912,#40335 [MM][Misc] Support image+video mixed inputs (per prompt) for VLM examples; #41517 [CI] Add ci-fetch-log.sh helper for Buildkite job logs
feature / production_code / single:kernels_operators / backend_agnostic,2,322.5,2.5,6.5,5649,0.0003540449637103912,#34025 [Kernel] [Helion] [5/N] Add Helion Autotuning infrastructure; #37989 [OOT] Add OOT support for linear kernel.
feature / production_code / single:reliability_observability / cross_backend,2,316.0,1.5,8.0,5649,0.0003540449637103912,#35698 [XPU]Enhance environment collection for Intel XPU and optimize layout; #46718 [Feat] Add runtime monitor for post-warmup TileLang compilation
feature / production_code / single:attention / cross_backend,2,1238.0,9.5,14.0,5649,0.0003540449637103912,#32623 [Attention] Abstract the MLA prefill backends and eliminate cuDNN; #40394 FlexAttention non-causal support
feature / production_code / single:compilation / backend_specific,2,9.5,1.5,3.0,5649,0.0003540449637103912,#37755 [Core] Enable allreduce fusion by default for SM 10.3 (B300/GB300); #42486 [XPU][UT]Enable ut qk_norm_rope_fusion
feature / production_code / single:distributed_execution / backend_specific,2,134.0,2.0,3.0,5649,0.0003540449637103912,#41675 [ROCm] Add QuickReduce min-size override and codec threshold; #41808 [XPU] Implement out-of-place all-reduce functionality
refactor / production_code / single:quantization / cross_backend,2,95.5,4.0,4.5,5649,0.0003540449637103912,#33047 [W8A8 Block Linear Refactor][1/N] Keep all quantization types into `QuantFP8` class.; #45463 [Refactor] Remove `Fp8OnlineLinearMethod` as scheduled
bugfix / production_code / single:model_loading_layers / cross_backend,2,14.0,2.0,6.5,5649,0.0003540449637103912,#38487 [Misc] Always use `forward_mulmat` for `Conv3d` on newer versions of torch.; #38938 Bug/test eagle dp v0
bugfix / production_code / single:worker_model_runner / cross_backend,2,7.0,1.0,2.5,5649,0.0003540449637103912,#32947 [Bugfix] Fix weights offloading for sleep mode; #34021 [Bugfix] Fix Worker.load_model context-manager composition for sleep mode
bugfix / production_code / single:reliability_observability / cross_backend,2,107.0,5.0,1.0,5649,0.0003540449637103912,#37231 [Bugfix] Expand quantization method support in perf metrics; #37313 [Log] Reduce duplicate log
refactor / production_code / single:quantization / backend_agnostic,2,94.0,3.0,3.5,5649,0.0003540449637103912,"#34254 [kv-cache, ct] Use compressed-tensors as a source of ground-truth for quant strategies; #42889 [Refactor] Remove dead code"
refactor / production_code / single:scheduler / backend_agnostic,2,53.5,3.0,1.5,5649,0.0003540449637103912,#33597 [Minor] Some code simplification in `scheduler.py`; #38048 [Refactor] Rename `WAITING_FOR_FSM` to `WAITING_FOR_STRUCTURED_OUTPUT_GRAMMAR`
refactor / production_code / single:moe / cross_backend,2,655.0,30.5,4.5,5649,0.0003540449637103912,#41979 [MoE] Move various experts classes to fused_moe/experts/; #43108 [MoE Refactor] Remove supports_expert_map
bugfix / production_code / single:device_platform / cross_backend,2,72.5,3.5,1.5,5649,0.0003540449637103912,#33941 [bugfix] [ROCm] Fix premature CUDA initialization in platform detection; #43020 [Bugfix] Make CuMemAllocator free callback stream-aware
bugfix / production_code / single:input_processing_multimodal / cross_backend,2,434.5,16.0,2.0,5649,0.0003540449637103912,#34358 [Bugfix] Standardize getting number of image patches/tokens; #47844 [Rust Frontend] Handle `continue_final_message` with renderer sentinel
bugfix / production_code / single:input_processing_multimodal / backend_specific,2,76.5,2.0,4.5,5649,0.0003540449637103912,#37061 [Frontend] Remove `torchcodec` from audio dependency; #48467 remove force channels_last in Idefics3MultiModalProcessor
ci / production_code / single:kernels_operators / backend_specific,2,103.0,1.5,2.5,5649,0.0003540449637103912,#47479 [ROCm][CI] Adding test groups for parity with upstream; #47695 [CI/Build] Fix pre-commit check
refactor / production_code / single:model_implementation / backend_specific,2,28.5,1.0,0.5,5649,0.0003540449637103912,#43690 [DSv4] Drop _get_compressed_kv_buffer in DeepseekCompressor; #44367 [DSV4] Minor cleanup for DeepseekV4MegaMoEExperts
refactor / production_code / single:serving_api / cross_backend,2,440.0,33.5,2.0,5649,0.0003540449637103912,#44170 [Frontend] Consolidate dev entrypoints.; #44512 [Frontend] Consolidate scale out entrypoints
